date,close,open,high,low
7/18/2013,8224.21,8224.21,8224.21,8224.21
7/17/2013,8126.04,8126.04,8126.04,8126.04
7/16/2013,8173.01,8173.01,8173.01,8173.01
7/12/2013,8143.18,8143.18,8143.18,8143.18
7/11/2013,8118.94,8118.94,8118.94,8118.94
7/10/2013,8123.37,8123.37,8123.37,8123.37
7/9/2013,8132.16,8132.16,8132.16,8132.16
7/8/2013,8126.82,8126.82,8126.82,8126.82
7/5/2013,8239.03,8239.03,8239.03,8239.03
7/4/2013,8118.01,8118.01,8118.01,8118.01
7/3/2013,8161.69,8161.69,8161.69,8161.69
7/2/2013,8181.54,8181.54,8181.54,8181.54
7/1/2013,8068.04,8068.04,8068.04,8068.04
6/28/2013,7786.31,7786.31,7786.31,7786.31
6/27/2013,7462.58,7462.58,7462.58,7462.58
6/26/2013,7269.06,7269.06,7269.06,7269.06
6/25/2013,7652.62,7652.62,7652.62,7652.62
6/24/2013,7784.23,7784.23,7784.23,7784.23
6/21/2013,7800.62,7800.62,7800.62,7800.62
6/20/2013,7775.57,7775.57,7775.57,7775.57
6/19/2013,7789.70,7789.70,7789.70,7789.70
6/18/2013,7756.42,7756.42,7756.42,7756.42
6/17/2013,7739.73,7739.73,7739.73,7739.73
6/14/2013,7500.46,7500.46,7500.46,7500.46
6/13/2013,7513.56,7513.56,7513.56,7513.56
6/12/2013,7790.90,7790.90,7790.90,7790.90
6/11/2013,7788.94,7788.94,7788.94,7788.94
6/10/2013,7717.59,7717.59,7717.59,7717.59
6/7/2013,7208.16,7208.16,7208.16,7208.16
6/6/2013,7427.06,7427.06,7427.06,7427.06
6/5/2013,7868.62,7868.62,7868.62,7868.62
6/4/2013,7994.91,7994.91,7994.91,7994.91
6/3/2013,7978.97,7978.97,7978.97,7978.97
5/31/2013,8217.44,8217.44,8217.44,8217.44
5/30/2013,8000.83,8000.83,8000.83,8000.83
5/29/2013,8319.13,8319.13,8319.13,8319.13
5/28/2013,8218.95,8218.95,8218.95,8218.95
5/27/2013,8036.78,8036.78,8036.78,8036.78
5/24/2013,8260.00,8260.00,8260.00,8260.00
5/23/2013,8105.86,8105.86,8105.86,8105.86
5/22/2013,8750.90,8750.90,8750.90,8750.90
5/21/2013,8717.11,8717.11,8717.11,8717.11
5/20/2013,8984.00,8984.00,8984.00,8984.00
5/17/2013,8869.60,8869.60,8869.60,8869.60
5/16/2013,8711.27,8711.27,8711.27,8711.27
5/15/2013,8916.13,8916.13,8916.13,8916.13
5/14/2013,9205.23,9205.23,9205.23,9205.23
5/13/2013,9040.29,9040.29,9040.29,9040.29
5/10/2013,8762.32,8762.32,8762.32,8762.32
5/9/2013,8542.10,8542.10,8542.10,8542.10
5/8/2013,8664.28,8664.28,8664.28,8664.28
5/7/2013,8568.99,8568.99,8568.99,8568.99
5/2/2013,8329.68,8329.68,8329.68,8329.68
5/1/2013,8214.36,8214.36,8214.36,8214.36
4/30/2013,8284.18,8284.18,8284.18,8284.18
4/26/2013,8163.86,8163.86,8163.86,8163.86
4/25/2013,8331.16,8331.16,8331.16,8331.16
4/24/2013,8170.44,8170.44,8170.44,8170.44
4/23/2013,7993.62,7993.62,7993.62,7993.62
4/22/2013,7853.00,7853.00,7853.00,7853.00
4/19/2013,7621.70,7621.70,7621.70,7621.70
4/18/2013,7591.71,7591.71,7591.71,7591.71
4/17/2013,7547.34,7547.34,7547.34,7547.34
4/16/2013,7365.43,7365.43,7365.43,7365.43
4/15/2013,7360.52,7360.52,7360.52,7360.52
4/12/2013,7389.63,7389.63,7389.63,7389.63
4/11/2013,7396.48,7396.48,7396.48,7396.48
4/10/2013,7333.69,7333.69,7333.69,7333.69
4/9/2013,7301.50,7301.50,7301.50,7301.50
4/8/2013,7338.57,7338.57,7338.57,7338.57
4/5/2013,7134.24,7134.24,7134.24,7134.24
4/4/2013,7064.00,7064.00,7064.00,7064.00
4/3/2013,6912.10,6912.10,6912.10,6912.10
4/2/2013,6749.48,6749.48,6749.48,6749.48
4/1/2013,6758.99,6758.99,6758.99,6758.99
3/29/2013,7094.65,7094.65,7094.65,7094.65
3/28/2013,7138.25,7138.25,7138.25,7138.25
3/27/2013,7149.19,7149.19,7149.19,7149.19
3/26/2013,7100.56,7100.56,7100.56,7100.56
3/25/2013,7130.39,7130.39,7130.39,7130.39
3/22/2013,7103.70,7103.70,7103.70,7103.70
3/21/2013,7190.11,7190.11,7190.11,7190.11
3/19/2013,6988.19,6988.19,6988.19,6988.19
3/18/2013,6907.20,6907.20,6907.20,6907.20
3/15/2013,6955.24,6955.24,6955.24,6955.24
3/14/2013,6859.94,6859.94,6859.94,6859.94
3/13/2013,6768.59,6768.59,6768.59,6768.59
3/12/2013,6719.05,6719.05,6719.05,6719.05
3/11/2013,6793.29,6793.29,6793.29,6793.29
3/8/2013,6713.56,6713.56,6713.56,6713.56
3/7/2013,6668.77,6668.77,6668.77,6668.77
3/6/2013,6651.71,6651.71,6651.71,6651.71
3/5/2013,6570.29,6570.29,6570.29,6570.29
3/4/2013,6533.20,6533.20,6533.20,6533.20
3/1/2013,6469.47,6469.47,6469.47,6469.47
2/28/2013,6381.73,6381.73,6381.73,6381.73
2/27/2013,6255.73,6255.73,6255.73,6255.73
2/26/2013,6266.24,6266.24,6266.24,6266.24
2/25/2013,6320.05,6320.05,6320.05,6320.05
2/22/2013,6251.26,6251.26,6251.26,6251.26
2/21/2013,6248.12,6248.12,6248.12,6248.12
2/20/2013,6287.27,6287.27,6287.27,6287.27
2/19/2013,6197.56,6197.56,6197.56,6197.56
2/18/2013,6123.76,6123.76,6123.76,6123.76
2/15/2013,5956.82,5956.82,5956.82,5956.82
2/14/2013,6024.40,6024.40,6024.40,6024.40
2/13/2013,6016.26,6016.26,6016.26,6016.26
2/12/2013,6100.29,6100.29,6100.29,6100.29
2/8/2013,6142.58,6142.58,6142.58,6142.58
2/7/2013,6213.71,6213.71,6213.71,6213.71
2/6/2013,6205.43,6205.43,6205.43,6205.43
2/5/2013,6114.51,6114.51,6114.51,6114.51
2/4/2013,6184.78,6184.78,6184.78,6184.78
2/1/2013,6154.44,6154.44,6154.44,6154.44
1/31/2013,6119.77,6119.77,6119.77,6119.77
1/30/2013,6084.27,6084.27,6084.27,6084.27
1/29/2013,5989.82,5989.82,5989.82,5989.82
1/28/2013,6017.52,6017.52,6017.52,6017.52
1/25/2013,5989.83,5989.83,5989.83,5989.83
1/24/2013,5880.40,5880.40,5880.40,5880.40
1/23/2013,5819.70,5819.70,5819.70,5819.70
1/22/2013,5871.53,5871.53,5871.53,5871.53
1/21/2013,5898.42,5898.42,5898.42,5898.42
1/18/2013,5853.09,5853.09,5853.09,5853.09
1/17/2013,5730.48,5730.48,5730.48,5730.48
1/16/2013,5752.44,5752.44,5752.44,5752.44
1/15/2013,5817.88,5817.88,5817.88,5817.88
1/11/2013,5786.66,5786.66,5786.66,5786.66
1/10/2013,5746.11,5746.11,5746.11,5746.11
1/9/2013,5705.20,5705.20,5705.20,5705.20
1/8/2013,5630.58,5630.58,5630.58,5630.58
1/7/2013,5668.81,5668.81,5668.81,5668.81
1/4/2013,5640.95,5640.95,5640.95,5640.95
12/28/2012,5508.26,5508.26,5508.26,5508.26
12/27/2012,5481.84,5481.84,5481.84,5481.84
12/26/2012,5455.60,5455.60,5455.60,5455.60
12/25/2012,5374.34,5374.34,5374.34,5374.34
12/21/2012,5338.24,5338.24,5338.24,5338.24
12/20/2012,5353.07,5353.07,5353.07,5353.07
12/19/2012,5378.17,5378.17,5378.17,5378.17
