date,open,high,low,close
2022-03-28,13834.8800,13834.8800,13551.0400,13661.3200
2022-03-29,13661.3200,13722.1000,13616.0900,13683.3400
2022-03-30,13683.3400,13878.0800,13683.3400,13857.0600
2022-03-31,13857.0600,13873.1400,13786.1600,13828.5900
2022-04-01,13828.5900,13828.5900,13616.3500,13730.4000
2022-04-06,13730.4000,13730.4000,13485.8600,13601.7500
2022-04-07,13601.7500,13601.7500,13342.4000,13342.6700
2022-04-08,13342.6700,13434.1600,13342.6700,13396.1400
2022-04-11,13396.1400,13411.9300,13217.3800,13217.4000
2022-04-12,13217.4000,13285.5900,13101.2500,13184.3500
2022-04-13,13184.3500,13501.6900,13184.3500,13462.2100
2022-04-14,13462.2100,13525.7700,13396.2800,13396.2800
2022-04-15,13396.2800,13396.2800,13187.4500,13187.4500
2022-04-18,13187.4500,13195.9800,13067.2900,13111.6500
2022-04-19,13111.6500,13275.4800,13111.6500,13168.1600
2022-04-20,13168.1600,13305.4300,13148.0700,13304.7800
2022-04-21,13304.7800,13338.8200,13233.5500,13249.2600
2022-04-22,13249.2600,13249.2600,13074.4100,13157.9900
2022-04-25,13157.9900,13157.9900,12849.9800,12890.9600
2022-04-26,12890.9600,12956.4900,12855.1400,12916.6900
2022-04-27,12916.6900,12916.6900,12584.2900,12596.0300
2022-04-28,12596.0300,12739.4200,12564.9200,12713.1500
2022-04-29,12713.1500,12948.4900,12713.1500,12856.7500
2022-05-03,12856.7500,12869.1800,12713.8200,12741.3500
2022-05-04,12741.3500,12846.8000,12741.3500,12802.9700
2022-05-05,12802.9700,12985.5200,12802.9700,12903.7200
2022-05-06,12903.7200,12903.7200,12581.3500,12657.0800
2022-05-09,12657.0800,12657.0800,12416.4400,12416.4400
2022-05-10,12416.4400,12416.4400,12134.3000,12398.9200
2022-05-11,12398.9200,12462.1600,12344.2300,12393.7100
2022-05-12,12393.7100,12393.7100,12061.9700,12062.4900
2022-05-13,12062.4900,12236.2100,12062.4900,12201.0900
2022-05-16,12201.0900,12389.5300,12201.0900,12272.1000
2022-05-17,12272.1000,12447.7700,12272.1000,12403.2300
2022-05-18,12403.2300,12628.6100,12403.2300,12620.0900
2022-05-19,12620.0900,12620.0900,12271.7400,12350.8800
2022-05-20,12350.8800,12508.4100,12350.8800,12469.6400
2022-05-23,12469.6400,12552.3000,12442.7900,12468.5900
2022-05-24,12468.5900,12525.4800,12312.1700,12312.1700
2022-05-25,12312.1700,12478.8200,12312.1700,12406.7700
2022-05-26,12406.7700,12451.3500,12250.0800,12269.2400
2022-05-27,12269.2400,12564.5000,12269.2400,12564.5000
2022-05-30,12564.5000,12868.9100,12564.5000,12867.5700
2022-05-31,12867.5700,13089.7300,12749.5600,13088.7000
2022-06-01,13088.7000,13088.7000,12904.1900,12921.5700
2022-06-02,12921.5700,12921.5700,12783.8000,12790.1500
2022-06-06,12790.1500,12897.2900,12754.2700,12845.4500
2022-06-07,12845.4500,12845.4500,12695.4400,12734.7800
2022-06-08,12734.7800,12925.8600,12734.7800,12904.2200
2022-06-09,12904.2200,12904.2200,12786.0000,12846.7800
2022-06-10,12846.7800,12846.7800,12653.9500,12686.5900
2022-06-13,12686.5900,12686.5900,12349.6100,12370.1400
2022-06-14,12370.1400,12370.1400,12212.7700,12339.8800
2022-06-15,12339.8800,12372.3200,12272.6600,12281.5600
2022-06-16,12281.5600,12463.1700,12204.2400,12217.1400
2022-06-17,12217.1400,12217.1400,12002.5700,12037.7300
2022-06-20,12037.7300,12069.8000,11909.4500,11910.6100
2022-06-21,11910.6100,12163.7300,11910.6100,12163.7300
2022-06-22,12163.7300,12163.7300,11854.9400,11854.9400
2022-06-23,11854.9400,11854.9400,11603.9600,11645.1700
2022-06-24,11645.1700,11811.6900,11645.1700,11707.5900
2022-06-27,11707.5900,12020.9400,11707.5900,11901.8400
2022-06-28,11901.8400,11901.8400,11789.9200,11835.1900
2022-06-29,11835.1900,11835.1900,11660.3300,11670.6900
2022-06-30,11670.6900,11670.6900,11357.3200,11357.3200
2022-07-01,11357.3200,11357.3200,10970.5100,10979.0100
2022-07-04,10979.0100,10979.0100,10776.6900,10795.7800
2022-07-05,10795.7800,11002.8800,10670.6000,10887.0700
2022-07-06,10887.0700,10887.0700,10600.5300,10600.7500
2022-07-07,10600.7500,10963.5100,10600.7500,10941.6400
2022-07-08,10941.6400,11118.2800,10941.6400,11057.5300
2022-07-11,11057.5300,11101.0600,10928.0800,10949.2300
2022-07-12,10949.2300,10949.2300,10652.2100,10656.4100
2022-07-13,10656.4100,11074.0600,10656.4100,11006.1400
2022-07-14,11006.1400,11124.2300,10871.1500,11091.9900
2022-07-15,11091.9900,11286.6400,11081.2500,11255.3600
2022-07-18,11255.3600,11364.5400,11253.5500,11364.5400
2022-07-19,11364.5400,11364.5400,11239.9500,11310.7000
2022-07-20,11310.7000,11508.9200,11310.7000,11364.5700
2022-07-21,11364.5700,11552.6300,11363.4400,11552.6300
2022-07-22,11552.6300,11608.3600,11521.8100,11577.6600
2022-07-25,11577.6600,11577.6600,11487.3100,11538.6600
2022-07-26,11538.6600,11538.6600,11387.2900,11441.1200
2022-07-27,11441.1200,11543.9500,11358.7200,11543.9500
2022-07-28,11543.9500,11654.8000,11508.6100,11547.3400
2022-07-29,11547.3400,11680.6200,11547.3400,11641.9100
2022-08-01,11641.9100,11641.9100,11531.9900,11606.2900
2022-08-02,11606.2900,11606.2900,11322.9100,11403.4100
2022-08-03,11403.4100,11503.9800,11372.2100,11503.9800
2022-08-04,11503.9800,11509.8400,11348.1000,11457.3100
2022-08-05,11457.3100,11756.8100,11457.3100,11750.1500
2022-08-08,11750.1500,11750.1500,11632.6000,11716.5500
2022-08-09,11716.5500,11742.0800,11594.6900,11715.4500
2022-08-10,11715.4500,11715.4500,11558.2000,11587.7800
2022-08-11,11587.7800,11834.9400,11587.7800,11830.6700
2022-08-12,11830.6700,11896.5500,11816.0000,11882.4400
2022-08-15,11882.4400,12004.9000,11882.4400,11982.7600
2022-08-16,11982.7600,12017.5300,11960.9100,11993.4200
2022-08-17,11993.4200,12038.0100,11955.4000,12037.6800
2022-08-18,12037.6800,12037.6800,11881.4400,11935.2100
2022-08-19,11935.2100,11983.3600,11873.2700,11927.6800
2022-08-22,11927.6800,11927.6800,11749.0100,11764.0900
2022-08-23,11764.0900,11764.0900,11609.9300,11620.6300
2022-08-24,11620.6300,11695.5100,11567.6300,11579.0200
2022-08-25,11579.0200,11726.2600,11579.0200,11679.7100
2022-08-26,11679.7100,11799.7900,11679.7100,11745.8600
2022-08-29,11745.8600,11745.8600,11398.6300,11454.6700
2022-08-30,11454.6700,11512.3700,11420.9800,11437.0300
2022-08-31,11437.0300,11580.4800,11358.7700,11569.3600
2022-09-01,11569.3600,11569.3600,11288.8600,11306.8500
2022-09-02,11306.8500,11306.8500,11180.5900,11180.5900
2022-09-05,11180.5900,11252.3200,11170.5300,11213.9200
2022-09-06,11213.9200,11325.1700,11213.9200,11279.8700
2022-09-07,11279.8700,11279.8700,10998.9000,11008.5900
2022-09-08,11008.5900,11099.8400,11008.5900,11099.8400
2022-09-12,11099.8400,11354.2000,11099.8400,11295.8800
2022-09-13,11295.8800,11429.2700,11295.8800,11383.9600
2022-09-14,11383.9600,11383.9600,11068.1100,11145.5200
2022-09-15,11145.5200,11196.2700,11093.0300,11137.2300
2022-09-16,11137.2300,11137.2300,11002.1000,11042.1100
2022-09-19,11042.1100,11063.0000,10945.2500,10952.5100
2022-09-20,10952.5100,11088.5400,10952.5100,11070.8400
